datetime,station_antwerp,station_paris,station_london
2019-04-16 08:00:00,,79.0,55.0
2019-04-16 09:00:00,,72.0,59.0
2019-04-16 10:00:00,,58.8,66.0
2019-04-16 11:00:00,,57.5,70.0
2019-04-16 12:00:00,,47.1,79.0
2019-04-16 13:00:00,,38.8,75.0
2019-04-16 14:00:00,,40.8,63.0
2019-04-16 15:00:00,,36.3,57.0
2019-04-16 16:00:00,,0.0,49.0
2019-04-16 17:00:00,,0.0,
2019-04-16 18:00:00,,38.1,65.0
2019-04-16 19:00:00,,44.0,70.0
2019-04-16 20:00:00,,39.4,76.0
2019-04-16 21:00:00,,34.5,83.0
2019-04-16 22:00:00,,28.3,84.0
2019-04-16 23:00:00,,31.7,81.0
2019-04-17 00:00:00,,30.9,81.0
2019-04-17 01:00:00,,34.4,71.0
2019-04-17 02:00:00,,27.3,
2019-04-17 03:00:00,33.0,30.7,72.0
2019-04-17 04:00:00,33.0,47.0,72.0
2019-04-17 05:00:00,38.5,62.5,50.0
2019-04-17 06:00:00,,65.5,50.0
2019-04-17 07:00:00,,67.3,51.0
2019-04-17 08:00:00,,72.9,51.0
2019-04-17 09:00:00,,70.4,48.0
2019-04-17 10:00:00,,72.7,50.0
2019-04-17 11:00:00,,69.3,56.0
2019-04-17 12:00:00,,46.9,67.0
2019-04-17 13:00:00,,23.6,60.0
2019-04-17 14:00:00,,15.8,50.0
2019-04-17 15:00:00,,11.9,53.0
2019-04-17 16:00:00,,13.2,53.0
2019-04-17 17:00:00,,12.1,57.0
2019-04-17 18:00:00,,13.8,54.0
2019-04-17 19:00:00,,15.3,52.0
2019-04-17 20:00:00,,17.4,46.0
2019-04-17 21:00:00,,25.3,60.0
2019-04-17 22:00:00,,41.2,54.0
2019-04-17 23:00:00,,37.3,55.0
2019-04-18 00:00:00,,24.7,55.0
2019-04-18 01:00:00,,19.5,50.0
2019-04-18 02:00:00,,21.6,50.0
2019-04-18 03:00:00,,18.9,50.0
2019-04-18 04:00:00,35.0,16.4,50.0
2019-04-18 05:00:00,,17.6,55.0
2019-04-18 06:00:00,,21.8,55.0
2019-04-18 07:00:00,,39.8,51.0
2019-04-18 08:00:00,,47.2,50.0
2019-04-18 09:00:00,,43.8,50.0
2019-04-18 10:00:00,,41.9,53.0
2019-04-18 11:00:00,,33.9,56.0
2019-04-18 12:00:00,,21.9,53.0
2019-04-18 13:00:00,,15.1,51.0
2019-04-18 14:00:00,,12.7,49.0
2019-04-18 15:00:00,,11.3,50.0
2019-04-18 16:00:00,,12.1,51.0
2019-04-18 17:00:00,,11.4,57.0
2019-04-18 18:00:00,,14.2,56.0
2019-04-18 19:00:00,,16.0,63.0
2019-04-18 20:00:00,,20.8,63.0
2019-04-18 21:00:00,,29.3,69.0
2019-04-18 22:00:00,,43.8,60.0
2019-04-18 23:00:00,,52.7,61.0
2019-04-19 00:00:00,,41.2,61.0
2019-04-19 01:00:00,,34.5,58.0
2019-04-19 02:00:00,,24.3,
2019-04-19 03:00:00,25.0,17.1,52.0
2019-04-19 04:00:00,,21.8,52.0
2019-04-19 05:00:00,,26.7,43.0
2019-04-19 06:00:00,,31.7,43.0
2019-04-19 07:00:00,,58.1,44.0
2019-04-19 08:00:00,,89.3,45.0
2019-04-19 09:00:00,,86.5,49.0
2019-04-19 10:00:00,,61.4,45.0
2019-04-19 11:00:00,,56.3,44.0
2019-04-19 12:00:00,,51.3,41.0
2019-04-19 13:00:00,,32.1,42.0
2019-04-19 14:00:00,,19.8,40.0
